101418,1530 HIGHWAY 50,O'FALLON,IL,,,,,,,,,,,,,,,,
101514,2201 MICHIGAN AVE,ARNOLD,MO,,,,,,,,,,,,,,,,
10201,2608 GREEN MOUNT COMMONS  DR,BELLEVILLE,IL,,,,,,,,,,,,,,,,
10253,1316 SOUTH STATE STREET,JERSEYVILLE,IL,,,,,,,,,,,,,,,,
10256,400 JUNCTION DR,GLEN CARBON,IL,,,,,,,,,,,,,,,,
102616,1307 HIGHWAY K,O'FALLON,MO,,,,,,,,,,,,,,,,
10328,961 NORTH MARKET STREET,WATERLOO,IL,,,,,,,,,,,,,,,,
10361,1040 COLLINSVILLE CROSSING,COLLINSVILLE,IL,,,,,,,,,,,,,,,,
104216,2802 OUTER ROAD DRIVE,MARION,IL,,,,,,,,,,,,,,,,
104222,1410 NORTH MARKET,SPARTA,IL,,,,,,,,,,,,,,,,
104252,215 GRANT WAY,DUQUOIN,IL,,,,,,,,,,,,,,,,
1043022,6495 COUNTRY CLUB ROAD,MURPHYSBORO,IL,,,,,,,,,,,,,,,,
10435,12495 STATE RTE 143,HIGHLAND,IL,,,,,,,,,,,,,,,,
1608554,3390 NORTH HIGHWAY 67,FLORISSANT,MO,,,,,,,,,,,,,,,,
1608566,7437 WATSON RD,SHREWSBURY,MO,,,,,,,,,,,,,,,,
1608641,HWY 150/2206 STATE S,CHESTER,IL,,,,,,,,,,,,,,,,
1608644,45 SUTTERS MILL RD,ST. PETERS,MO,,,,,,,,,,,,,,,,
1608645,3031 MID RIVERS MALL DR,ST. PETERS,MO,,,,,,,,,,,,,,,,
1608815,1101 BELTLINE RD,COLLINSVILLE,IL,,,,,,,,,,,,,,,,
1609039,100 OZARK DR ,CUBA,MO,,,,,,,,,,,,,,,,
235791,1900 MAPELWOOD COMMONS,MAPLEWOOD,MO,,,,,,,,,,,,,,,,
31684,2897 VETERANS MEMORIAL PKWY,ST CHARLES,MO,,,,,,,,,,,,,,,,
379999,379 WEST PONTOON RD,GRANITE CITY,IL,,,,,,,,,,,,,,,,
63699,201 HIGHLANDS BLVD DR,MANCHESTER,MO,,,,,,,,,,,,,,,,
1608619,475 Pearl Dr.,OFALLON,MO,,,,,,,,,,,,,,,,
1608680,1305 NORTH RUSSELL ST,MARION ,IL,,,,,,,,,,,,,,,,
1608681,787 MAPLE VALLEY DR,FARMINGTON,MO,,,,,,,,,,,,,,,,
1608682,#60 FENTON PLAZA,FENTON,MO ,,,,,,,,,,,,,,,,
1608683,1505 HERITAGE HILLS DR,WASHINGTON ,MO,,,,,,,,,,,,,,,,
1608684,10800 BELLEFONTAINE RD,BELLEFONTAINE,MO,,,,,,,,,,,,,,,,
1608685,464 HAWK RIDGE TRAIL,LAKE ST. LOUIS,MO,,,,,,,,,,,,,,,,
1608686,1708 NORTH ILLINOIS,SWANSEA,IL,,,,,,,,,,,,,,,,
1608687,2154 MICHIGAN AVE,ARNOLD ,MO ,,,,,,,,,,,,,,,,
1608688,700 SOUTH TRUMAN BLVD,CRYSTAL CITY,MO,,,,,,,,,,,,,,,,
1608689,1635 WEST US HWY 50,O'FALLON,IL,,,,,,,,,,,,,,,,
1608690,320 PARK RIDGE RD,SULLIVAN,MO,,,,,,,,,,,,,,,,
1608691,6601 GRAVOIS,ST. LOUIS,MO,,,,,,,,,,,,,,,,
1608692,14654 MANCHESTER,BALLWIN,MO,,,,,,,,,,,,,,,,
1608693,2822 HOMER ADAMS PARKWAY,ALTON ,IL,,,,,,,,,,,,,,,,
1608694,8615 VETERANS MEMORIAL DR,O'FALLON,MO,,,,,,,,,,,,,,,,
1608695,1033 LEMAY FERRY RD,LEMAY,MO,,,,,,,,,,,,,,,,
1608696,1412 SCHAEFFER RD,GRANITE CITY,IL,,,,,,,,,,,,,,,,
1608697,11745 OLIVE BLVD,CREVE COEUR,MO,,,,,,,,,,,,,,,,
1608698,1335 BASS PRO DR,SAINT CHARLES,MO,,,,,,,,,,,,,,,,
1608699,343 MID RIVERS DRIVE,ST. PETERS,MO,,,,,,,,,,,,,,,,
1608700,2505 NORTH HIGHWAY 67,FLORISSANT,MO,,,,,,,,,,,,,,,,
1608701,1233 CAMP JACKSON RD,CAHOKIA,IL,,,,,,,,,,,,,,,,
1608702,#6 THE PLAZA,TROY,MO,,,,,,,,,,,,,,,,
1608703,1250 NORTH MARKET ST,SPARTA ,IL,,,,,,,,,,,,,,,,
1608704,11296 WEST FLORISSANT,FLORISSANT,MO,,,,,,,,,,,,,,,,
1608705,12290 ST. CHARLES ROCK ROAD,BRIDGETON,MO,,,,,,,,,,,,,,,,
1608706,21 ADAMS AVE ,FERGUSON,MO,,,,,,,,,,,,,,,,
1608707,1232 EAST MAIN,CARBONDALE ,IL,,,,,,,,,,,,,,,,
1608708,12145 MANCHESTER RD,DES PERES,MO,,,,,,,,,,,,,,,,
1608709,9759 ST. CHARLES ROCK RD,OVERLAND,MO,,,,,,,,,,,,,,,,
1608710,7701 OLIVE BLVD,UNIVERSITY CITY,MO,,,,,,,,,,,,,,,,
1608711,9274 WATSON RD,CRFESTWOOD,MO,,,,,,,,,,,,,,,,
1608712,1665 JUNGERMANN,SAINT CHARLES,MO,,,,,,,,,,,,,,,,
1608713,7725 MANCHESTER RD,MAPLEWOOD,MO,,,,,,,,,,,,,,,,
1608714,3616 NATURAL BRIDGE,ST. LOUIS,MO,,,,,,,,,,,,,,,,
1608715,300 THF BLVD,CHESTERFIELD,MO,,,,,,,,,,,,,,,,
1608716,16 COTTONWOOD RD,GLEN CARBON,IL,,,,,,,,,,,,,,,,
1608717,1716 VANDALIA ST,COLLINSVILLE,IL,,,,,,,,,,,,,,,,
1608718,702 KINGSHIGHWAY,ST. LOUIS,MO,,,,,,,,,,,,,,,,
1608719,8445 LUCAS AND HUNT RD,SAINT LOUIS,MO,,,,,,,,,,,,,,,,
1608720,11185 SOUTH TOWNE SQUARE,SAINT LOUIS,MO,,,,,,,,,,,,,,,,
1608721,3865 GRAVOIS,ST. LOUIS,MO,,,,,,,,,,,,,,,,
1608722,399 WESLEY DR,WOOD RIVER,IL,,,,,,,,,,,,,,,,
1608723,531 ANWIJO WAY,WARRENTON,MO,,,,,,,,,,,,,,,,
1608743,7369 WATSON RD,SHREWSBURY,MO,,,,,,,,,,,,,,,,
1608794,150 CROSSROADS DR,WENTZVILLE,MO,,,,,,,,,,,,,,,,
1608803,10680 ST. CHARLES ROCK RD,ST. ANN,MO,,,,,,,,,,,,,,,,
1608948,5925 N ILLINOIS ST,FAIRVIEW HEIGHTS,IL,,,,,,,,,,,,,,,,
1608970,1125 S KIRKWOOD RD,KIRKWOOD,MO,,,,,,,,,,,,,,,,
1608971,15907 MANCHESTER RD,ELLISVILLE,MO,,,,,,,,,,,,,,,,
4000,550 E INDUSTRIAL PARK,MURPHYSBORO,IL,,,,,,,,,,,,,,,, 
4002,456 E ST LOUIS ST,NASHVILLE,IL,,,,,,,,,,,,,,,, 
4003,1704 WEST DE YOUNG ST,MARION,IL,,,,,,,,,,,,,,,, 
4010,10 W FRANKFORT PLAZA,W FRANKFORT,IL,,,,,,,,,,,,,,,, 
4011,US HWY 45 NORTH,HARRISBURG,IL,,,,,,,,,,,,,,,, 
4012,1609 S PARK AVE,HERRIN,IL,,,,,,,,,,,,,,,, 
4013,501 N GIANT CITY RD,CARBONDALE,IL,,,,,,,,,,,,,,,, 
4014,604 EAST BOONESLICK RD,WARRENTON,MO,,,,,,,,,,,,,,,, 
4015,1 TROY SQUARE,TROY,MO,,,,,,,,,,,,,,,, 
1608453,1703 NORTH BELT WEST,BELLEVILLLE,IL,,,,,,,,,,,,,,,,
1608475,3801 NAMEOKI RD,GRANITE CITY,IL,,,,,,,,,,,,,,,,
1608500,2675 NORTHTOWN WAY,HIGHLAND,IL,,,,,,,,,,,,,,,,
1608504,1984 VANDALIA ST,COLLINSVILLE,IL,,,,,,,,,,,,,,,,
1608526,11050 ST. CHARLES ROCK RD,ST. ANN,MO,,,,,,,,,,,,,,,,
1608545,2700 SOUTH GRAND ,ST. LOUIS,MO,,,,,,,,,,,,,,,,
1608565,5771 GODFREY RD,GODFREY,IL,,,,,,,,,,,,,,,,
1608725,2458 WEST CLAY,SAINT CHARLES,MO,,,,,,,,,,,,,,,,
1608726,10009 BELLEFONTAINE ,ST. LOUIS,MO,,,,,,,,,,,,,,,,
1608836,10850 LINCOLN TRAIL ,FAIRVIEW HEIGHTS ,IL,,,,,,,,,,,,,,,,
100234,2341 NORTH LINDBERGH,FLORISSANT,MO,,,,,,,,,,,,,,,,
100422,4250 RUSTY ROAD,ST LOUIS,MO,,,,,,,,,,,,,,,,
1004255,4255 HAMPTON AVE,ST LOUIS,MO,,,,,,,,,,,,,,,,
100699,3849 VOGEL ROAD,ARNOLD,MO,,,,,,,,,,,,,,,,
10420,1042 SOUTH KIRKWOOD,KIRKWOOD,MO,,,,,,,,,,,,,,,,
106241,6241 MID-RIVERS MALL DRIVE,SAINT PETERS,MO,,,,,,,,,,,,,,,,
12723,1272 TOWN & COUNTRY CROSSINGS,TOWN & COUNTRY,MO,,,,,,,,,,,,,,,,
15025,15025 MANCHESTER ROAD,BALLWIN,MO,,,,,,,,,,,,,,,,
18383,1883 WENTZVILLE PARKWAY,WENTZVILLE,MO,,,,,,,,,,,,,,,,
18571,1851 VERNACI DRIVE,WASHINGTON,MO,,,,,,,,,,,,,,,,
197005,197 GRAVOIS BLUFF PLAZA DR,FENTON,MO,,,,,,,,,,,,,,,,
222222,300 HOMER M ADAMS PKWY,ALTON,IL,,,,,,,,,,,,,,,,
23004,2300 HIGHWAY K,O'FALLON,MO,,,,,,,,,,,,,,,,
23501,2350 TROY ROAD,EDWARDSVILLE,IL,,,,,,,,,,,,,,,,
250366,25 BRENTWOOD PROMENADE,BRENTWOOD,MO,,,,,,,,,,,,,,,,
291066,12275 ST CHARLES ROCK ROAD,BRIDGETON,MO,,,,,,,,,,,,,,,,
34000,3400 GREEN N MOUNT CROSSING DR,SHILOH,IL,,,,,,,,,,,,,,,,
400000,40 THF BLVD,CHESTERFIELD,MO,,,,,,,,,,,,,,,,
445566,3000 DEYOUNG ST,MARION,IL,,,,,,,,,,,,,,,,
47012,4701 NORTH ILLINOIS STREET,FAIRVIEW HEIGHTS,IL,,,,,,,,,,,,,,,,
560123,5601 BELLEVILLE CROSSING,BELLEVILLE,IL,,,,,,,,,,,,,,,,
567444,3881 MEXICO ROAD,ST CHARLES,MO,,,,,,,,,,,,,,,,
79555,7955 HWY N,DARDENNE PRAIRIE,MO,,,,,,,,,,,,,,,,
1608474,6569 NORTH ILLINOIS ST,FAIRVIEW HEIGHTS,IL,,,,,,,,,,,,,,,,
1608601,2235 HIGHWAY K,O'FALLON,MO,,,,,,,,,,,,,,,,
1608602,13957 MANCHESTER RD,TOWN & COUNTRY,MO,,,,,,,,,,,,,,,,
1608786,1018 NORTH KIRKWOOD,KIRKWOOD,MO,,,,,,,,,,,,,,,,
1608821,9920 LIN FERRY DR,SAINT LOUIS,MO,,,,,,,,,,,,,,,,
1608883,3600 SOUTH ST. PETERS PKWY,SAINT CHARLES,MO,,,,,,,,,,,,,,,,
1608663,301 HIGHLANDS BLVD DR,MANCHESTER,MO,,,,,,,,,,,,,,,,
1608894,200 COSTCO WAY,ST. PETERS,MO,,,,,,,,,,,,,,,,
420001,4200 RUSTY ROAD,St Louis,MO,,,,,,,,,,,,,,,,
102356,10248 BIG BEND BLVD,CRESTWOOD,MO,,,,,,,,,,,,,,,,
130550,196 THF Blvd,Chesterfield,MO,,,,,,,,,,,,,,,,
147832,10735 W FLORISSANT,FERGUSON,MO,,,,,,,,,,,,,,,,
159886,2100 MAPLEWOOD COM.moN DRIVE,MAPLEWOOD,MO,,,,,,,,,,,,,,,,
226547,1350 W HWY 50,O'FALLON,IL,,,,,,,,,,,,,,,,
5569866,4512 LEMAY FERRY ROAD,St Louis,MO,,,,,,,,,,,,,,,,
631314,13455 MANCHESTER ROAD,ST LOUIS,MO,,,,,,,,,,,,,,,,
631569,2855 SOUTH SERVICE ROAD,St Charles,MO,,,,,,,,,,,,,,,,
631636,2709 WALTON WAY,Marion,IL,,,,,,,,,,,,,,,,
6338555,3055 BEAR CREEK DR,WENTZVILLE,MO,,,,,,,,,,,,,,,,
66223344,5 ILLINI DR,GLEN CARBON,IL,,,,,,,,,,,,,,,,
1000000,400 NORTHWEST PLAZA DR,ST. ANN,MO,,,,,,,,,,,,,,,,
10000421,6840 PAGE,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000404,3427 S JEFFERSON,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000405,3160 TELEGRAPH RD,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000407,2980 HOMER ADAMS,ALTON,IL,,,,,,,,,,,,,,,,
1000408,3102 WEST CLAY,ST CHARLES,MO,,,,,,,,,,,,,,,,
1000409,12590 NEW HALLS FERRY,FLORISSANT,MO,,,,,,,,,,,,,,,,
1000411,8960 RIVERVIEW BLVD,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000412,2600 STATE ST,EAST ST LOUIS,IL,,,,,,,,,,,,,,,,
1000413,91 NORTH OAKS,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000414,715 PEARCE,WENTZVILLE,MO,,,,,,,,,,,,,,,,
1000416,3645 PAGE,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000417,4515 W MAIN,BELLEVILLE,IL,,,,,,,,,,,,,,,,
1000419,468 NORTH LINDBERGH BLVD,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000420,3254 NAMEOKI ROAD,GRANITE CITY,IL,,,,,,,,,,,,,,,,
1000422,4447 NATURAL BRIDGE,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000424,1601 JEFFERSON AVE,ST LOUIS,MO,,,,,,,,,,,,,,,,
1000427,9430 MIDLAND BLVD,OVERLAND,MO,,,,,,,,,,,,,,,,
1000864,5437 SOUTHWEST AVE,ST LOUIS,MO,,,,,,,,,,,,,,,,
1608476,18249 Quarry Road,Warrenton,MO,,,,,,,,,,,,,,,,
1608613,1501 SOUTH FLORISSANT RD,COOL VALLEY,MO,,,,,,,,,,,,,,,,
1608759,8000 ST. CHARLES ROCK RD,OVERLAND,MO,,,,,,,,,,,,,,,,
1608876,4025 LAKEFRONT CT,EARTH CITY,MO,,,,,,,,,,,,,,,,
1609046,1331 UNION BLVD,ST. LOUIS,MO,,,,,,,,,,,,,,,,
34671,4625 CROSSROADS INDUSTRIAL DR,BRIDGETON,MO,,,,,,,,,,,,,,,,
400004,29 GATEWAY COMMERCE CENTER DR,Edwardsville,IL,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,, 
